Invoice_No.,InvoiceDate,DueDate,Description,Unit_price,Quantity,Tax ,Total,Date,Time,Payment,Mobile_no
55416013,11/30/2012,12/30/2012,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,15:30,Ewallet,68974371653
57081728,11/4/2012,12/4/2012,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,68987434895
57781566,6/24/2012,7/24/2012,Health and beauty,87.98,3,13.197,277.137,3/5/2019,10:40,Ewallet,68972826938
58393139,1/6/2013,2/5/2013,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,68974105008
72380981,2/16/2013,3/18/2013,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,68994614741
75181247,2/18/2012,3/19/2012,Sports and travel,88.63,3,13.2945,279.1845,3/2/2019,17:36,Ewallet,68991816148
81932735,1/24/2012,2/23/2012,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,19:20,Credit card,68976325822
86171934,5/29/2013,6/28/2013,Fashion accessories,33.52,1,1.676,35.196,2/8/2019,15:31,Cash,68984994194
93006859,12/24/2012,1/23/2013,Fashion accessories,87.67,2,8.767,184.107,3/10/2019,12:17,Credit card,68974625466
97717897,3/31/2013,4/30/2013,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,68973279866
101415601,5/31/2012,6/30/2012,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,68973075624
101747306,5/27/2013,6/26/2013,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,19:39,Credit card,68969158848
103483331,7/27/2012,8/26/2012,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,68871520623
104628267,1/13/2012,2/12/2012,Sports and travel,83.78,8,33.512,703.752,1/10/2019,14:49,Cash,82973023226
106360977,2/19/2012,3/20/2012,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,82976311138
106486147,9/21/2013,10/21/2013,Food and beverages,99.42,4,19.884,417.564,2/6/2019,10:42,Ewallet,82991284247
110122785,10/23/2012,11/22/2012,Sports and travel,68.12,1,3.406,71.526,1/7/2019,12:28,Ewallet,82992417549
120364375,4/23/2013,5/23/2013,Sports and travel,62.62,5,15.655,328.755,3/10/2019,19:15,Ewallet,82973248837
121797094,9/28/2012,10/28/2012,Electronic accessories,60.88,9,27.396,575.316,1/15/2019,17:17,Ewallet,82975839886
122662308,8/5/2013,9/4/2013,Health and beauty,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,82993547675
123645023,12/22/2012,1/21/2013,Home and lifestyle,30.12,8,12.048,253.008,3/3/2019,13:01,Cash,82994801445
131216793,2/1/2013,3/3/2013,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,82994551773
135429278,8/2/2012,9/1/2012,Home and lifestyle,56.11,2,5.611,117.831,2/2/2019,10:11,Cash,82975258319
145315244,8/19/2013,9/18/2013,Sports and travel,69.12,6,20.736,435.456,2/8/2019,13:03,Cash,82994613178
152050637,2/13/2013,3/15/2013,Food and beverages,98.7,8,39.48,829.08,3/4/2019,20:39,Cash,82975807120
152808559,9/11/2012,10/11/2012,Health and beauty,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,82992475033
173814675,4/27/2013,5/27/2013,Electronic accessories,93.96,4,18.792,394.632,3/9/2019,18:00,Cash,82991426644
176356154,8/20/2012,9/19/2012,Health and beauty,56.69,9,25.5105,535.7205,2/27/2019,17:24,Credit card,82968360382
176953642,9/10/2013,10/10/2013,Food and beverages,20.01,9,9.0045,189.0945,2/6/2019,15:47,Ewallet,82974068222
176959210,8/30/2012,9/29/2012,Electronic accessories,18.93,6,5.679,119.259,2/10/2019,12:45,Credit card,82973840836
180192586,8/2/2012,9/1/2012,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,17:08,Ewallet,82994547256
186123387,6/9/2012,7/9/2012,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,82993168082
186768686,6/10/2012,7/10/2012,Food and beverages,44.59,5,11.1475,234.0975,2/10/2019,15:10,Cash,82992640468
189882917,9/3/2012,10/3/2012,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,14:42,Ewallet,82993612198
190687025,7/15/2013,8/14/2013,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,15:46,Credit card,82992829724
195093797,11/2/2013,12/2/2013,Home and lifestyle,16.16,2,1.616,33.936,3/7/2019,11:49,Ewallet,82975839886
195359114,8/29/2012,9/28/2012,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,19:01,Cash,82976170491
202519703,2/10/2013,3/12/2013,Home and lifestyle,44.34,2,4.434,93.114,3/27/2019,11:26,Cash,82968183079
203036054,9/23/2012,10/23/2012,Health and beauty,89.6,8,35.84,752.64,2/7/2019,11:28,Ewallet,82973840836
204757285,1/13/2012,2/12/2012,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,15:55,Cash,82974105684
206372278,8/14/2013,9/13/2013,Electronic accessories,30.61,6,9.183,192.843,3/12/2019,20:36,Cash,82968612205
208940420,12/1/2013,12/31/2013,Sports and travel,24.74,3,3.711,77.931,2/15/2019,17:47,Credit card,82973247002
213324193,10/13/2012,11/12/2012,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,10:55,Ewallet,82968268487
217272343,9/22/2013,10/22/2013,Sports and travel,55.07,9,24.7815,520.4115,2/3/2019,13:40,Ewallet,82974869635
218034886,2/1/2013,3/3/2013,Sports and travel,15.81,10,7.905,166.005,3/6/2019,12:27,Credit card,82975242442
222477564,3/8/2012,4/7/2012,Health and beauty,75.74,4,15.148,318.108,2/14/2019,14:35,Cash,82991263228
232048622,3/14/2012,4/13/2012,Health and beauty,15.87,10,7.935,166.635,3/13/2019,16:40,Cash,11111111111
237437528,12/9/2012,1/8/2013,Health and beauty,33.47,2,3.347,70.287,2/10/2019,15:43,Ewallet,82992578311
246081324,9/6/2012,10/6/2012,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,15:01,Ewallet,82968202158
254550541,12/28/2012,1/27/2013,Sports and travel,78.77,10,39.385,827.085,1/24/2019,10:04,Cash,82975754894
261246477,10/20/2013,11/19/2013,Health and beauty,18.33,1,0.9165,19.2465,2/2/2019,18:50,Cash,82992640468
263678657,9/10/2012,10/10/2012,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,82975454461
270702396,10/31/2012,11/30/2012,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,82973231226
273425635,2/7/2012,3/8/2012,Food and beverages,48.52,3,7.278,152.838,3/5/2019,18:17,Ewallet,82993547926
274057720,5/7/2012,6/6/2012,Electronic accessories,75.91,6,22.773,478.233,3/9/2019,18:21,Cash,82975778641
277331044,11/2/2012,12/2/2012,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,82994741872
280670965,1/3/2012,2/2/2012,Electronic accessories,41.65,10,20.825,437.325,1/13/2019,17:04,Credit card,82991363688
281287578,10/28/2012,11/27/2012,Fashion accessories,49.04,9,22.068,463.428,1/9/2019,14:20,Credit card,82973728517
282342168,2/6/2012,3/7/2012,Fashion accessories,20.01,9,9.0045,189.0945,1/12/2019,15:48,Credit card,82992928521
284482411,2/14/2013,3/16/2013,Food and beverages,78.31,10,39.155,822.255,3/5/2019,16:24,Ewallet,82976775736
285510254,4/5/2012,5/5/2012,Health and beauty,20.38,5,5.095,106.995,1/22/2019,18:56,Cash,82992231153
286008070,2/26/2013,3/28/2013,Health and beauty,99.19,6,29.757,624.897,1/21/2019,14:42,Credit card,92971497870
287254498,1/22/2012,2/21/2012,Food and beverages,96.68,3,14.502,304.542,1/26/2019,19:56,Ewallet,92969962230
291694356,2/27/2013,3/29/2013,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,92989031237
296503272,7/3/2012,8/2/2012,Food and beverages,80.36,4,16.072,337.512,2/23/2019,18:45,Credit card,92974491228
298536056,3/12/2013,4/11/2013,Sports and travel,48.91,5,12.2275,256.7775,3/9/2019,10:17,Cash,92986836517
299012002,11/29/2013,12/29/2013,Sports and travel,83.06,7,29.071,610.491,3/5/2019,14:31,Ewallet,92982710172
300108731,11/30/2013,12/30/2013,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,92973416216
302496633,7/4/2012,8/3/2012,Food and beverages,49.38,7,17.283,362.943,3/27/2019,20:35,Credit card,92971372952
308536412,11/25/2012,12/25/2012,Sports and travel,42.47,1,2.1235,44.5935,1/2/2019,16:57,Cash,92986018378
312361525,7/5/2012,8/4/2012,Health and beauty,76.99,6,23.097,485.037,2/27/2019,17:55,Cash,92974556821
320318018,3/23/2013,4/22/2013,Home and lifestyle,47.38,4,9.476,198.996,1/23/2019,10:25,Cash,92976854576
321937283,5/25/2013,6/24/2013,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,92999662750
326671411,12/27/2012,1/26/2013,Sports and travel,21.98,7,7.693,161.553,1/10/2019,16:42,Ewallet,92981362240
329307404,8/2/2012,9/1/2012,Health and beauty,64.36,9,28.962,608.202,3/12/2019,12:09,Credit card,92975269461
333420180,11/10/2013,12/10/2013,Health and beauty,89.75,1,4.4875,94.2375,2/6/2019,20:05,Credit card,92985287953
354407690,4/12/2013,5/12/2013,Electronic accessories,97.16,1,4.858,102.018,3/8/2019,20:38,Ewallet,92980402581
355095997,12/12/2012,1/11/2013,Health and beauty,87.87,10,43.935,922.635,3/29/2019,10:25,Ewallet,92988816359
360452276,1/30/2012,2/29/2012,Electronic accessories,12.45,6,3.735,78.435,2/9/2019,13:11,Cash,92968656745
367399005,8/10/2013,9/9/2013,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,92977777777
368163381,8/23/2013,9/22/2013,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,18:14,Cash,92985557934
371943035,10/24/2013,11/23/2013,Fashion accessories,48.71,1,2.4355,51.1455,3/26/2019,19:20,Cash,92988518127
374328279,7/8/2013,8/7/2013,Fashion accessories,78.55,9,35.3475,742.2975,3/1/2019,13:22,Cash,92971787788
374625254,4/3/2013,5/3/2013,Electronic accessories,23.07,9,10.3815,218.0115,2/1/2019,11:27,Cash,92992833102
374628242,5/9/2013,6/8/2013,Food and beverages,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,92972583980
380292674,3/2/2013,4/1/2013,Health and beauty,30.35,7,10.6225,223.0725,3/19/2019,18:19,Cash,92985294726
381841466,11/12/2013,12/12/2013,Electronic accessories,88.67,10,44.335,931.035,1/12/2019,14:50,Ewallet,11986757522
385813290,5/7/2012,6/6/2012,Fashion accessories,27.38,6,8.214,172.494,1/5/2019,20:54,Credit card,92983205586
387380707,8/20/2012,9/19/2012,Sports and travel,62.13,6,18.639,391.419,3/22/2019,20:19,Cash,92973416216
391669562,8/8/2012,9/7/2012,Food and beverages,33.98,9,15.291,321.111,3/24/2019,10:43,Cash,92982518585
401983784,8/17/2013,9/16/2013,Electronic accessories,81.97,10,40.985,860.685,3/3/2019,14:30,Cash,92971671167
420999665,4/21/2013,5/21/2013,Sports and travel,16.49,2,1.649,34.629,2/5/2019,11:32,Ewallet,92988737260
423629217,8/9/2012,9/8/2012,Health and beauty,98.21,3,14.7315,309.3615,2/5/2019,10:41,Credit card,92976857336
428154463,5/3/2012,6/2/2012,Fashion accessories,72.84,7,25.494,535.374,2/15/2019,12:44,Cash,12914578879
428957919,2/13/2012,3/14/2012,Home and lifestyle,58.07,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,92982518585
449356610,1/4/2013,2/3/2013,Home and lifestyle,80.79,9,36.3555,763.4655,2/1/2019,20:31,Credit card,92985616731
451448142,11/20/2012,12/20/2012,Fashion accessories,27.02,3,4.053,85.113,3/2/2019,13:01,Credit card,92986472302
472551457,7/20/2013,8/19/2013,Fashion accessories,21.94,5,5.485,115.185,3/5/2019,12:29,Ewallet,92985773706
476918544,2/14/2013,3/16/2013,Fashion accessories,51.36,1,2.568,53.928,1/16/2019,15:26,Ewallet,92973831617
479534953,4/13/2013,5/13/2013,Food and beverages,10.96,10,5.48,115.08,2/2/2019,20:48,Ewallet,96975654761
485064626,10/6/2012,11/5/2012,Home and lifestyle,53.44,2,5.344,112.224,1/20/2019,20:38,Ewallet,96976163152
488925270,5/18/2013,6/17/2013,Electronic accessories,99.56,8,39.824,836.304,2/14/2019,17:03,Credit card,96996463992
489697015,4/16/2012,5/16/2012,Sports and travel,57.12,7,19.992,419.832,1/12/2019,12:02,Credit card,96979765032
490252754,5/8/2013,6/7/2013,Sports and travel,99.96,9,44.982,944.622,3/9/2019,17:26,Credit card,96983851478
493580936,6/17/2012,7/17/2012,Home and lifestyle,63.91,8,25.564,536.844,3/13/2019,19:52,Credit card,96998742216
496849530,6/2/2013,7/2/2013,Fashion accessories,56.47,8,22.588,474.348,3/9/2019,14:57,Ewallet,96976946487
497305913,11/7/2012,12/7/2012,Home and lifestyle,93.69,7,32.7915,688.6215,3/10/2019,18:44,Credit card,96969717408
498009655,8/24/2012,9/23/2012,Sports and travel,32.25,5,8.0625,169.3125,1/27/2019,13:26,Cash,96975759514
500975230,4/18/2013,5/18/2013,Fashion accessories,31.73,9,14.2785,299.8485,1/8/2019,16:17,Credit card,96983415837
511851896,12/26/2012,1/25/2013,Food and beverages,68.54,8,27.416,575.736,1/8/2019,15:57,Ewallet,96973318686
512194602,3/28/2012,4/27/2012,Sports and travel,90.28,9,40.626,853.146,2/8/2019,11:15,Ewallet,96991674170
514496777,9/14/2012,10/14/2012,Fashion accessories,39.62,7,13.867,291.207,1/25/2019,13:18,Cash,96989139840
519700354,3/9/2012,4/8/2012,Sports and travel,92.13,6,27.639,580.419,3/6/2019,20:34,Cash,96982736043
523612895,4/17/2012,5/17/2012,Sports and travel,34.84,4,6.968,146.328,2/10/2019,18:36,Cash,96986763036
524611481,10/5/2012,11/4/2012,Electronic accessories,87.45,6,26.235,550.935,2/17/2019,14:40,Credit card,96982912127
524798729,10/19/2013,11/18/2013,Health and beauty,81.3,6,24.39,512.19,3/8/2019,16:43,Ewallet,96968579670
528993923,2/22/2013,3/24/2013,Fashion accessories,90.22,3,13.533,284.193,2/18/2019,19:39,Cash,96987541914
533597326,8/20/2012,9/19/2012,Electronic accessories,26.31,5,6.5775,138.1275,1/18/2019,20:59,Credit card,96972618112
535335924,7/10/2012,8/9/2012,Home and lifestyle,34.42,6,10.326,216.846,2/18/2019,15:39,Cash,96971084455
535641538,4/26/2012,5/26/2012,Sports and travel,51.91,10,25.955,545.055,2/16/2019,12:21,Cash,96992252751
537837854,2/21/2012,3/22/2012,Sports and travel,72.5,8,29,609,3/16/2019,19:25,Ewallet,96979249162
540061441,1/30/2013,3/1/2013,Sports and travel,89.8,10,44.9,942.9,1/23/2019,13:00,Credit card,96976163152
540659475,2/5/2013,3/7/2013,Health and beauty,90.5,10,45.25,950.25,1/25/2019,13:48,Cash,96968579670
552732928,6/16/2013,7/16/2013,Health and beauty,68.6,10,34.3,720.3,2/5/2019,19:57,Cash,96982150888
555108669,5/2/2012,6/1/2012,Food and beverages,30.41,1,1.5205,31.9305,2/22/2019,10:36,Credit card,96987639217
557941160,9/1/2013,10/1/2013,Home and lifestyle,77.95,6,23.385,491.085,1/21/2019,16:37,Ewallet,96995070789
561711596,4/16/2013,5/16/2013,Health and beauty,46.26,6,13.878,291.438,3/8/2019,17:11,Credit card,96997444332
565497922,10/30/2012,11/29/2012,Fashion accessories,30.14,10,15.07,316.47,2/10/2019,12:28,Ewallet,96993448606
572625167,5/24/2013,6/23/2013,Health and beauty,66.14,4,13.228,277.788,3/19/2019,12:46,Credit card,96979889533
572998733,4/19/2012,5/19/2012,Home and lifestyle,71.86,8,28.744,603.624,3/6/2019,15:07,Credit card,96979249162
578091983,12/13/2012,1/12/2013,Health and beauty,32.46,8,12.984,272.664,3/27/2019,13:48,Credit card,71969871386
586870094,3/29/2012,4/28/2012,Fashion accessories,91.54,4,18.308,384.468,3/23/2019,19:20,Credit card,71999895712
588467684,3/12/2013,4/11/2013,Sports and travel,34.56,7,12.096,254.016,3/11/2019,16:07,Credit card,71998976323
598324396,7/7/2012,8/6/2012,Fashion accessories,83.24,9,37.458,786.618,1/29/2019,11:56,Credit card,71980747839
601440262,5/30/2012,6/29/2012,Food and beverages,16.48,6,4.944,103.824,2/7/2019,18:23,Ewallet,71971376584
601606458,10/25/2012,11/24/2012,Sports and travel,80.97,8,32.388,680.148,1/28/2019,13:05,Cash,71995226369
604769805,2/21/2013,3/23/2013,Food and beverages,92.29,5,23.0725,484.5225,2/20/2019,15:55,Credit card,71999163262
606876865,3/9/2013,4/8/2013,Electronic accessories,72.17,1,3.6085,75.7785,1/4/2019,19:40,Cash,71967701365
607578995,9/28/2012,10/28/2012,Home and lifestyle,50.28,5,12.57,263.97,3/7/2019,13:58,Ewallet,71999285807
608187073,5/25/2013,6/24/2013,Health and beauty,97.22,9,43.749,918.729,3/30/2019,14:43,Ewallet,71999853261
608905626,9/27/2012,10/27/2012,Sports and travel,93.39,6,28.017,588.357,3/27/2019,19:18,Ewallet,71997824867
613092852,3/7/2013,4/6/2013,Food and beverages,43.18,8,17.272,362.712,1/19/2019,19:39,Credit card,71999233480
617172736,4/3/2013,5/3/2013,Sports and travel,63.69,1,3.1845,66.8745,2/25/2019,16:21,Cash,71996712727
620329407,2/15/2013,3/17/2013,Food and beverages,45.79,7,16.0265,336.5565,3/13/2019,19:44,Credit card,71999351816
624274413,8/14/2013,9/13/2013,Sports and travel,76.4,2,7.64,160.44,1/30/2019,19:42,Ewallet,71996508287
627613977,4/6/2012,5/6/2012,Food and beverages,39.9,10,19.95,418.95,2/20/2019,15:24,Credit card,71981536833
631345640,9/19/2013,10/19/2013,Health and beauty,42.57,8,17.028,357.588,2/25/2019,14:12,Ewallet,71971012977
633253847,4/1/2013,5/1/2013,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019,13:32,Cash,71999361785
640587193,12/24/2012,1/23/2013,Fashion accessories,98.98,10,49.49,1039.29,2/8/2019,16:20,Credit card,71972186570
641122100,11/3/2012,12/3/2012,Food and beverages,51.28,6,15.384,323.064,1/19/2019,16:31,Cash,71967363674
641300165,9/12/2013,10/12/2013,Sports and travel,69.52,7,24.332,510.972,2/1/2019,15:10,Credit card,71997948079
641436694,2/11/2013,3/13/2013,Health and beauty,70.01,5,17.5025,367.5525,1/3/2019,11:36,Ewallet,71999303415
642684114,6/20/2012,7/20/2012,Food and beverages,80.05,5,20.0125,420.2625,1/26/2019,12:45,Credit card,71997560707
645045061,10/26/2012,11/25/2012,Electronic accessories,20.85,8,8.34,175.14,3/3/2019,19:17,Cash,71971251111
647569317,10/20/2013,11/19/2013,Electronic accessories,52.89,6,15.867,333.207,1/19/2019,17:34,Credit card,71971241286
649688883,11/3/2013,12/3/2013,Food and beverages,19.79,8,7.916,166.236,1/18/2019,12:04,Ewallet,71996287193
649771974,4/26/2013,5/26/2013,Home and lifestyle,33.84,9,15.228,319.788,3/21/2019,16:21,Ewallet,71996551545
658936368,5/17/2013,6/16/2013,Food and beverages,22.17,8,8.868,186.228,3/3/2019,17:01,Credit card,71982246631
659596494,12/5/2012,1/4/2013,Fashion accessories,22.51,7,7.8785,165.4485,2/13/2019,10:50,Credit card,71972036153
666874152,8/18/2012,9/17/2012,Food and beverages,73.88,6,22.164,465.444,3/23/2019,19:16,Ewallet,71967636535
672948510,11/9/2012,12/9/2012,Health and beauty,86.8,3,13.02,273.42,1/28/2019,16:47,Ewallet,85993600325
674518601,7/28/2012,8/27/2012,Fashion accessories,64.26,7,22.491,472.311,2/9/2019,10:00,Cash,85981388299
676551273,10/13/2012,11/12/2012,Food and beverages,38.47,8,15.388,323.148,1/23/2019,11:51,Cash,85997556147
678458928,8/21/2012,9/20/2012,Sports and travel,15.5,10,7.75,162.75,3/23/2019,10:55,Ewallet,85980864994
679404840,10/7/2013,11/6/2013,Health and beauty,34.31,8,13.724,288.204,1/25/2019,15:00,Ewallet,85981552182
681101344,8/27/2012,9/26/2012,Sports and travel,12.34,7,4.319,90.699,3/4/2019,11:19,Credit card,85975975167
681889913,7/24/2013,8/23/2013,Food and beverages,18.08,3,2.712,56.952,3/5/2019,19:46,Ewallet,85985866423
684720070,4/3/2012,5/3/2012,Home and lifestyle,94.49,8,37.796,793.716,3/3/2019,19:00,Ewallet,85968411725
685917930,10/13/2012,11/12/2012,Home and lifestyle,46.47,4,9.294,195.174,2/8/2019,10:53,Cash,85972377736
689403769,9/29/2013,10/29/2013,Home and lifestyle,74.07,1,3.7035,77.7735,2/10/2019,12:50,Ewallet,85989956961
700683520,2/11/2012,3/12/2012,Home and lifestyle,69.81,4,13.962,293.202,1/28/2019,20:50,Credit card,85981233195
703104577,3/31/2013,4/30/2013,Home and lifestyle,77.04,3,11.556,242.676,2/11/2019,10:39,Credit card,85976388742
704405155,4/28/2012,5/28/2012,Fashion accessories,73.52,2,7.352,154.392,1/15/2019,13:41,Ewallet,85989741581
705084741,5/2/2013,6/1/2013,Food and beverages,87.8,9,39.51,829.71,3/16/2019,19:08,Cash,85972078386
706375400,5/12/2013,6/11/2013,Home and lifestyle,25.55,4,5.11,107.31,1/26/2019,20:23,Ewallet,85998600560
725765758,4/8/2012,5/8/2012,Electronic accessories,32.71,5,8.1775,171.7275,3/19/2019,11:30,Credit card,85993126285
726197794,4/11/2013,5/11/2013,Fashion accessories,74.29,1,3.7145,78.0045,1/13/2019,19:30,Cash,85996874107
728378151,6/25/2013,7/25/2013,Health and beauty,43.7,2,4.37,91.77,3/26/2019,18:03,Cash,85999865326
733170200,12/9/2012,1/8/2013,Home and lifestyle,25.29,1,1.2645,26.5545,3/23/2019,10:13,Ewallet,85974861647
739678368,7/4/2013,8/3/2013,Health and beauty,41.5,4,8.3,174.3,3/12/2019,19:58,Credit card,85974624758
744801013,3/1/2013,3/31/2013,Food and beverages,71.39,5,17.8475,374.7975,2/17/2019,19:57,Credit card,85971362732
744808791,12/13/2012,1/12/2013,Sports and travel,19.15,6,5.745,120.645,1/29/2019,10:01,Credit card,85985165155
748230672,5/11/2013,6/10/2013,Electronic accessories,57.49,4,11.498,241.458,3/15/2019,11:57,Cash,85999674033
750411142,11/27/2012,12/27/2012,Electronic accessories,61.41,7,21.4935,451.3635,1/14/2019,10:02,Cash,85989409333
750477087,10/24/2012,11/23/2012,Health and beauty,25.9,10,12.95,271.95,2/6/2019,14:51,Ewallet,85991278521
755429128,10/6/2013,11/5/2013,Home and lifestyle,17.77,5,4.4425,93.2925,2/15/2019,12:42,Credit card,85980097428
760825845,8/10/2013,9/9/2013,Health and beauty,23.03,9,10.3635,217.6335,1/3/2019,12:02,Ewallet,85989327237
761602627,9/7/2013,10/7/2013,Electronic accessories,66.65,9,29.9925,629.8425,1/4/2019,18:19,Credit card,85988276886
762698565,5/12/2012,6/11/2012,Home and lifestyle,28.53,10,14.265,299.565,3/18/2019,17:38,Ewallet,85984357654
764361492,11/17/2012,12/17/2012,Fashion accessories,30.37,3,4.5555,95.6655,3/28/2019,13:41,Ewallet,85985694065
769617971,1/17/2013,2/16/2013,Electronic accessories,99.73,9,44.8785,942.4485,3/2/2019,19:42,Credit card,85996704866
773493683,9/15/2013,10/15/2013,Electronic accessories,26.23,9,11.8035,247.8735,1/25/2019,20:24,Ewallet,85983424366
775479959,9/1/2013,10/1/2013,Food and beverages,93.26,9,41.967,881.307,1/16/2019,18:08,Cash,85992658115
781909762,7/30/2013,8/29/2013,Home and lifestyle,92.36,5,23.09,484.89,3/20/2019,19:17,Ewallet,85971522410
784468555,9/25/2013,10/25/2013,Sports and travel,46.42,3,6.963,146.223,1/4/2019,13:24,Credit card,85988148125
806089606,9/12/2013,10/12/2013,Sports and travel,29.61,7,10.3635,217.6335,3/11/2019,15:53,Cash,85998730707
816501620,8/20/2012,9/19/2012,Home and lifestyle,18.28,1,0.914,19.194,3/22/2019,15:05,Credit card,85995043663
818753502,1/15/2013,2/14/2013,Sports and travel,24.77,5,6.1925,130.0425,3/24/2019,18:27,Cash,85993251914
822444456,10/13/2012,11/12/2012,Electronic accessories,94.64,3,14.196,298.116,2/21/2019,16:55,Cash,85972845310
826558350,6/24/2013,7/24/2013,Fashion accessories,94.87,8,37.948,796.908,2/12/2019,12:58,Ewallet,61972717294
828222998,4/13/2012,5/13/2012,Food and beverages,57.34,3,8.601,180.621,3/10/2019,18:59,Credit card,61989078975
839049806,9/18/2013,10/18/2013,Electronic accessories,45.35,6,13.605,285.705,1/31/2019,13:44,Ewallet,61995336813
839756390,11/25/2013,12/25/2013,Food and beverages,62.08,7,21.728,456.288,3/6/2019,13:46,Ewallet,61972847725
847327295,8/4/2012,9/3/2012,Electronic accessories,11.81,5,2.9525,62.0025,2/17/2019,18:06,Cash,61981564211
857712918,2/22/2013,3/24/2013,Fashion accessories,12.54,1,0.627,13.167,2/21/2019,12:38,Cash,61984734693
858258272,9/30/2013,10/30/2013,Food and beverages,43.25,2,4.325,90.825,3/20/2019,15:56,Cash,61995814266
863594173,2/25/2012,3/26/2012,Sports and travel,87.16,2,8.716,183.036,1/11/2019,14:29,Credit card,61996711574
